industry_name,number_of_firms,total_taxable_income,total_taxes_paid,total_cash_taxes_paid,average_taxable_income
Aerospace/Defense,77,3.092e+04,5106.376,7441.776,401.561
Apparel,39,5.423e+03,1112.113,1479.292,139.043
Auto & Truck,31,3.336e+04,3529.000,2446.896,1076.071
Auto Parts,37,4.200e+03,905.547,1298.506,113.520
Bank (Money Center),7,1.250e+05,21450.270,12205.000,17853.884
Banks (Regional),557,8.566e+04,18035.351,32391.214,153.787
Beverage (Alcoholic),23,2.644e+03,923.338,804.714,114.943
Beverage (Soft),31,2.843e+04,5170.927,5315.261,917.135
Broadcasting,26,1.181e+04,2592.140,1261.260,454.167
Brokerage & Investment Banking,30,5.253e+04,10939.419,12537.104,1751.093
Building Materials,45,1.947e+04,4291.337,4094.025,432.572
Business & Consumer Services,164,1.848e+04,4164.267,4534.729,112.666
Cable TV,10,2.591e+04,7726.200,6595.700,2591.230
Chemical (Basic),38,1.959e+04,4107.522,2257.590,515.547
Chemical (Diversified),4,2.820e+03,494.900,344.320,704.875
Chemical (Specialty),76,3.284e+04,7067.406,6000.614,432.151
Coal & Related Energy,19,3.025e+03,175.100,23.700,159.228
Computer Services,80,1.284e+04,2683.325,4721.034,160.470
Computers/Peripherals,42,1.304e+05,21779.468,22648.560,3104.880
Construction Supplies,49,2.052e+04,4340.162,3858.571,418.811
Diversified,23,1.506e+04,2404.900,9101.828,654.765
Drugs (Pharmaceutical),281,9.530e+04,11581.182,24143.713,339.151
Electrical Equipment,110,1.306e+04,2625.546,2889.040,118.727
Engineering/Construction,43,4.452e+03,1018.780,729.673,103.536
Entertainment,110,1.661e+04,3504.639,4032.532,151.036
Environmental & Waste Services,62,6.606e+03,1460.968,976.708,106.556
Farming/Agriculture,39,1.942e+04,3891.301,3787.074,498.049
Financial Svcs. (Non-bank & Insurance),223,1.365e+05,28491.872,22331.683,611.887
Food Processing,92,2.637e+04,5246.152,6901.425,286.611
Food Wholesalers,14,3.119e+03,694.200,505.650,222.814
Green & Renewable Energy,19,2.471e+03,347.060,95.879,130.063
Healthcare Products,254,2.744e+04,4253.458,6427.905,108.051
Healthcare Support Services,131,6.781e+04,14939.723,15428.422,517.632
Heathcare Information and Technology,138,2.716e+04,4297.602,6888.842,196.843
Homebuilding,32,3.266e+04,7553.310,5652.220,1020.734
Hospitals/Healthcare Facilities,34,1.236e+04,2979.258,2611.014,363.386
Hotel/Gaming,69,1.664e+04,3968.179,3796.443,241.178
Household Products,127,3.062e+04,6172.314,7358.871,241.077
Information Services,73,4.963e+04,9482.033,11161.666,679.879
Insurance (General),21,2.871e+04,5851.687,2934.036,1367.371
Insurance (Life),27,2.304e+04,3352.160,4123.882,853.368
Insurance (Prop/Cas.),51,1.741e+04,3459.460,5570.129,341.347
Machinery,116,2.110e+04,4427.081,5507.827,181.869
Metals & Mining,68,1.317e+04,5058.410,3400.439,193.684
Oil/Gas (Integrated),4,1.314e+05,30387.173,22217.310,32845.775
Oil/Gas (Production and Exploration),174,1.156e+05,24231.135,11970.642,664.557
Oil/Gas Distribution,23,1.142e+04,1910.850,109.032,496.530
Oilfield Svcs/Equip.,101,5.822e+04,12273.744,5895.050,576.392
Packaging & Container,25,1.209e+04,2464.600,2880.640,483.797
Paper/Forest Products,7,2.126e+03,548.400,408.800,303.686
Power,48,3.884e+04,5233.073,2289.728,809.211
R.E.I.T.,223,5.887e+04,2521.535,1933.726,264.004
Real Estate (Operations & Services),60,6.115e+03,1236.989,1426.088,101.916
Recreation,57,5.840e+03,1170.723,1191.095,102.460
Reinsurance,1,6.170e+02,40.000,163.000,617.000
Restaurant/Dining,70,1.833e+04,3903.997,4484.914,261.802
Retail (Automotive),30,1.755e+04,4134.300,3743.026,584.959
Retail (Building Supply),15,3.470e+04,8645.210,8272.940,2313.133
Retail (Distributors),69,2.004e+04,4701.598,3790.420,290.488
Retail (General),15,3.547e+04,9012.100,11642.260,2364.727
Retail (Grocery and Food),13,6.743e+03,1503.520,1317.732,518.700
Retail (Online),63,1.027e+04,45.228,5817.395,163.028
Retail (Special Lines),78,2.493e+04,5129.405,5660.914,319.634
Rubber& Tires,3,6.921e+02,0.000,201.000,230.707
Semiconductor,68,8.156e+04,8329.074,13839.779,1199.345
Semiconductor Equip,30,2.117e+04,2859.206,3629.544,705.779
Shipbuilding & Marine,8,2.490e+03,387.402,293.360,311.312
Shoe,13,8.846e+03,1256.650,493.200,680.469
Software (Entertainment),91,1.152e+05,18337.012,19016.346,1265.988
Software (System & Application),390,1.175e+05,20894.612,23839.879,301.321
Steel,28,3.306e+04,6819.110,4812.107,1180.715
Telecom (Wireless),16,2.289e+03,108.600,146.132,143.056
Telecom. Equipment,79,1.914e+04,3530.433,5291.668,242.261
Telecom. Services,49,5.342e+04,11807.390,4065.627,1090.111
Tobacco,15,1.904e+04,4802.087,5750.909,1269.625
Transportation,18,2.391e+04,5299.926,3449.639,1328.285
Transportation (Railroads),4,1.852e+04,4128.000,3585.334,4630.250
Trucking,35,1.732e+04,4233.550,2088.072,494.982
Utility (General),15,1.705e+04,2838.760,1781.660,1136.667
Utility (Water),16,2.531e+03,457.080,51.987,158.169
Total Market,7165,2.669e+06,502642.371,506550.816,372.571
Total Market (without financials),5649,2.157e+06,403063.326,405006.899,381.791